
blue 53.68 80.08 200
blue 69.56 80.34 200
blue 47.31 80.49 200
blue 62.76 80.7 200
green 7.07 77.22 200
blue 63.44 81.1 200
blue 73.62 81.29 200
blue 74.46 81.39 200
blue 65.95 81.35 200
blue 71.73 81.46 200
blue 70.96 81.53 200
blue 84.78 81.64 200
blue 63.44 81.7 200
blue 71.57 81.71 200
blue 68.81 81.77 200
blue 74.19 81.84 200
blue 68.47 81.91 200
blue 72.82 81.93 200
blue 73.62 81.96 200
blue 76.34 82.03 200
blue 72.22 82.12 200
blue 69.56 82.19 200
blue 72.82 82.26 200
blue 78.49 82.34 200
blue 67.44 82.41 200
blue 74.19 82.49 200
blue 65.93 82.59 200
blue 77.52 82.6 200
green 25 77.4 200
blue 48.93 82.69 200
green 100 79.08 200
green 100 79.26 200
green 90.32 79.61 200
green 85.86 79.8 200
green 86.31 79.94 200
green 85.1 80.09 200
green 74.72 80.14 200
green 76.04 80.32 200
green 71.11 80.31 200
green 76.04 80.38 200
green 76.66 80.37 200
green 74.44 80.47 200
green 77.01 80.53 200
green 72.34 80.64 200
green 64.51 80.65 200
green 75.53 80.74 200
green 72.63 80.84 200
green 68.08 80.88 200
green 74.19 80.96 200
green 70 81.09 200
green 72.34 81.15 200
green 73.62 81.2 200
green 73.86 81.26 200
green 71.42 81.34 200
green 73.62 81.45 200
green 70.65 81.56 200
green 72.04 81.63 200
green 69.89 81.72 200
green 78.26 81.68 200
green 47.25 81.81 200
